City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
Houston, Texas,#DreamersAreAmericans,Fri Jun 19 17:41:10 +0000 2020,29.7869,-95.3905,#dcbeff,1401,5446468,2
Oceanside, CA,#BlueLivesMurder,Fri Jun 19 17:43:14 +0000 2020,33.2247,-117.3083,#dbcbd8,1649,176193,1
Oceanside, CA,#BlueLivesMurder,Fri Jun 19 17:43:14 +0000 2020,33.2247,-117.3083,#dbcbd8,1649,176193,1
Washington, DC,#masculinity,Fri Jun 19 17:43:48 +0000 2020,38.9047,-77.0163,#f58231,4382,5289420,2
Wooster, OH,#DreamersAreAmericans,Fri Jun 19 17:45:12 +0000 2020,40.8166,-81.9334,#dcbeff,611,31011,3
Wooster, OH,#DreamersAreAmericans,Fri Jun 19 17:45:12 +0000 2020,40.8166,-81.9334,#dcbeff,611,31011,3
Independence, KY,#Copslivesmatter,Fri Jun 19 17:45:19 +0000 2020,38.951,-84.5492,#808000,607,27634,1
Portland, Oregon ,#blackconservative,Fri Jun 19 17:47:25 +0000 2020,45.5371,-122.65,#fabed4,1874,2052796,1
Portland, Oregon ,#blackconservative,Fri Jun 19 17:47:25 +0000 2020,45.5371,-122.65,#fabed4,1874,2052796,1
Texas, USA,#DreamersAreAmericans,Fri Jun 19 17:49:35 +0000 2020,30.6543695,-97.80444208,#dcbeff,467.0797439,19220.27823,1
Texas, USA,#DreamersAreAmericans,Fri Jun 19 17:49:35 +0000 2020,30.6543695,-97.80444208,#dcbeff,467.0797439,19220.27823,1
Wooster, OH,#DreamersAreAmericans,Fri Jun 19 17:53:27 +0000 2020,40.8166,-81.9334,#dcbeff,611,31011,3
Wooster, OH,#DreamersAreAmericans,Fri Jun 19 17:53:27 +0000 2020,40.8166,-81.9334,#dcbeff,611,31011,3
Glens Falls, NY,#IllegalAliens,Fri Jun 19 17:58:01 +0000 2020,43.3109,-73.6459,#aaffc3,1447,64287,1
Salem, OR,#masculinity,Fri Jun 19 18:06:12 +0000 2020,44.9232,-123.0245,#f58231,1347,259816,1
Wooster, OH,#DreamersAreAmericans,Fri Jun 19 18:09:19 +0000 2020,40.8166,-81.9334,#dcbeff,611,31011,3
Wooster, OH,#DreamersAreAmericans,Fri Jun 19 18:09:19 +0000 2020,40.8166,-81.9334,#dcbeff,611,31011,3
Phoenix, AZ,#IllegalAliens,Fri Jun 19 18:20:49 +0000 2020,33.5722,-112.0891,#aaffc3,1212,4081849,1
Los Angeles, CA,#DisarmthePolice,Fri Jun 19 18:32:03 +0000 2020,34.1139,-118.4068,#562c2c,3295,12815475,1
Nashville, TN,#Copslivesmatter,Fri Jun 19 18:34:39 +0000 2020,36.1715,-86.7843,#808000,541,1076645,1
Los Angeles, CA,#DreamersAreAmericans,Fri Jun 19 18:34:58 +0000 2020,34.1139,-118.4068,#dcbeff,3295,12815475,2
Los Angeles, CA,#DreamersAreAmericans,Fri Jun 19 18:34:58 +0000 2020,34.1139,-118.4068,#dcbeff,3295,12815475,3
Parma, Ohio,#Copslivesmatter,Fri Jun 19 18:35:34 +0000 2020,41.3843,-81.7286,#808000,1527,79167,1
Oregon, USA,#DisarmthePolice,Fri Jun 19 18:40:05 +0000 2020,44.56224297,-122.0184233,#562c2c,621.6392573,13825.60212,1
Oregon, USA,#DisarmthePolice,Fri Jun 19 18:40:05 +0000 2020,44.56224297,-122.0184233,#562c2c,621.6392573,13825.60212,1
Texas, USA,#policereforms,Fri Jun 19 19:00:46 +0000 2020,30.6543695,-97.80444208,#bfef45,467.0797439,19220.27823,1
Texas, USA,#policereforms,Fri Jun 19 19:00:46 +0000 2020,30.6543695,-97.80444208,#bfef45,467.0797439,19220.27823,2
Hot Springs, AR,#Copslivesmatter,Fri Jun 19 19:01:12 +0000 2020,34.4902,-93.0498,#808000,390,57819,1
Dallas, TX,#MWGA,Fri Jun 19 19:02:19 +0000 2020,32.7936,-96.7662,#21897e,1524,5733259,1
Dallas, TX,#MWGA,Fri Jun 19 19:02:19 +0000 2020,32.7936,-96.7662,#21897e,1524,5733259,1
Dallas, TX,#policereforms,Fri Jun 19 19:06:43 +0000 2020,32.7936,-96.7662,#bfef45,1524,5733259,1
Dallas, TX,#policereforms,Fri Jun 19 19:06:43 +0000 2020,32.7936,-96.7662,#bfef45,1524,5733259,1
Florida, USA,#IllegalAliens,Fri Jun 19 19:07:04 +0000 2020,28.1400878,-82.12263066,#aaffc3,927.0826374,33241.92747,2
Washington, DC,#MAGA,Fri Jun 19 19:09:36 +0000 2020,38.9047,-77.0163,#ffc800,4382,5289420,3
Sebastian, FL,#IllegalAliens,Fri Jun 19 19:17:21 +0000 2020,27.7883,-80.4815,#aaffc3,715,25174,1
Manhattan, NY,#masculinity,Fri Jun 19 19:20:39 +0000 2020,40.7834,-73.9662,#f58231,27799,1643734,1
Midland, TX,#blackconservative,Fri Jun 19 19:25:51 +0000 2020,32.0249,-102.1137,#fabed4,706,144247,1
Midland, TX,#blackconservative,Fri Jun 19 19:25:51 +0000 2020,32.0249,-102.1137,#fabed4,706,144247,1
Washington, DC,#blackconservative,Fri Jun 19 19:28:33 +0000 2020,38.9047,-77.0163,#fabed4,4382,5289420,1
Washington, DC,#blackconservative,Fri Jun 19 19:28:33 +0000 2020,38.9047,-77.0163,#fabed4,4382,5289420,1
Grapevine, Texas,#DreamersAreAmericans,Fri Jun 19 19:34:41 +0000 2020,32.9343,-97.0744,#dcbeff,651,53982,1
Grapevine, Texas,#DreamersAreAmericans,Fri Jun 19 19:34:41 +0000 2020,32.9343,-97.0744,#dcbeff,651,53982,1
Indiana, USA,#blackconservative,Fri Jun 19 19:36:35 +0000 2020,39.98034558,-86.28141401,#fabed4,507.0575221,9087.176991,1
Indiana, USA,#blackconservative,Fri Jun 19 19:36:35 +0000 2020,39.98034558,-86.28141401,#fabed4,507.0575221,9087.176991,1
Bellingham, WA,#Copslivesmatter,Fri Jun 19 19:38:29 +0000 2020,48.7543,-122.4687,#808000,1241,126015,1
New York, USA,#IllegalAliens,Fri Jun 19 19:58:03 +0000 2020,42.11192215,-75.02628554,#aaffc3,970.2613531,35076.80816,1
New York, USA,#IllegalAliens,Fri Jun 19 19:58:03 +0000 2020,42.11192215,-75.02628554,#aaffc3,970.2613531,35076.80816,1
Michigan, USA,#IllegalAliens,Fri Jun 19 19:59:37 +0000 2020,43.47372116,-84.86635913,#aaffc3,503.2115942,15115.93768,1
Pasadena, CA,#IllegalAliens,Fri Jun 19 20:00:15 +0000 2020,34.1597,-118.139,#aaffc3,2398,142647,1
Georgia, USA,#IllegalAliens,Fri Jun 19 20:00:55 +0000 2020,32.96564403,-83.57147565,#aaffc3,315.7548387,17340.27419,1
Washington, DC,#ProLife,Fri Jun 19 20:02:19 +0000 2020,38.9047,-77.0163,#564787,4382,5289420,2
North Carolina, USA,#IllegalAliens,Fri Jun 19 20:08:11 +0000 2020,35.43980951,-79.32081359,#aaffc3,296.3206522,12504.38587,1
Shalimar, FL,#IllegalAliens,Fri Jun 19 20:15:47 +0000 2020,30.4434,-86.5831,#aaffc3,1081,808,1
Panama City Beach, FL,#IllegalAliens,Fri Jun 19 20:17:38 +0000 2020,30.2369,-85.8774,#aaffc3,255,12757,1
Washington, USA,#ProChoice,Fri Jun 19 20:22:42 +0000 2020,47.34480645,-121.3815208,#ff8427,521.5129032,16346.75484,1
Pennsylvania, USA,#ProChoice,Fri Jun 19 20:23:11 +0000 2020,40.62121128,-77.63372888,#ff8427,782.3564815,9051.620949,1
Knoxville, TN,#ProChoice,Fri Jun 19 20:23:23 +0000 2020,35.9692,-83.9496,#ff8427,732,585249,1
Memphis, TN,#ProChoice,Fri Jun 19 20:24:38 +0000 2020,35.1046,-89.9773,#ff8427,793,1068873,5
Minnesota, USA,#ProChoice,Fri Jun 19 20:26:58 +0000 2020,45.49674916,-94.28402319,#ff8427,328.1137124,8110.998885,1
Memphis, TN,#ProChoice,Fri Jun 19 20:27:55 +0000 2020,35.1046,-89.9773,#ff8427,793,1068873,5
Providence, RI,#Copslivesmatter,Fri Jun 19 20:28:19 +0000 2020,41.823,-71.4187,#808000,3783,1206642,1
Boston, MA,#ProChoice,Fri Jun 19 20:30:18 +0000 2020,42.3188,-71.0846,#ff8427,5472,4637537,1
Edwardsville, IL,#IllegalAliens,Fri Jun 19 20:30:53 +0000 2020,38.7922,-89.9881,#aaffc3,488,24967,1
Philadelphia, PA,#IllegalAliens,Fri Jun 19 20:32:50 +0000 2020,40.0077,-75.1339,#aaffc3,4547,5637884,1
New York, NY,#LGBTQRights,Fri Jun 19 20:35:59 +0000 2020,40.6943,-73.9249,#9A6324,11083,19354922,2
Manhattan, NY,#IllegalAliens,Fri Jun 19 20:39:05 +0000 2020,40.7834,-73.9662,#aaffc3,27799,1643734,1
Metairie, LA,#DreamersAreAmericans,Fri Jun 19 20:40:39 +0000 2020,29.9976,-90.1781,#dcbeff,2407,144822,1
Metairie, LA,#DreamersAreAmericans,Fri Jun 19 20:40:39 +0000 2020,29.9976,-90.1781,#dcbeff,2407,144822,1
Atlanta, GA,#IllegalAliens,Fri Jun 19 20:40:52 +0000 2020,33.7627,-84.4225,#aaffc3,1384,5228750,1
Rock Hill, SC,#IllegalAliens,Fri Jun 19 20:41:10 +0000 2020,34.9413,-81.025,#aaffc3,741,115963,1
California, USA,#blackconservative,Fri Jun 19 20:41:11 +0000 2020,36.92493894,-120.1874709,#fabed4,956.995814,39607.22724,1
