,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
162,Michigan, USA,#MAGA,Sat Jun 20 23:59:40 +0000 2020,43.47372115942029,-84.86635913043477,#ffc800,503.21159420289854,15115.937681159421,3
163,Gilbert, AZ,#MAGA,Sat Jun 20 23:59:38 +0000 2020,33.3103,-111.7463,#ffc800,1374.0,242354.0,1
164,Gatesville, NC,#MAGA,Sat Jun 20 23:59:36 +0000 2020,36.4072,-76.7566,#ffc800,285.0,299.0,1
166,New Jersey, USA,#ProChoice,Sat Jun 20 23:29:32 +0000 2020,40.32016673040153,-74.52402217973231,#ff8427,1469.2390057361376,10892.99808795411,1
167,Vancouver, WA,#ProChoice,Sat Jun 20 21:31:06 +0000 2020,45.6367,-122.597,#ff8427,1386.0,175673.0,1
168,San Francisco, CA,#ProChoice,Sat Jun 20 21:19:57 +0000 2020,37.7562,-122.443,#ff8427,7286.0,3603761.0,1
169,South Bend, IN,#ProChoice,Sat Jun 20 21:15:02 +0000 2020,41.6771,-86.2692,#ff8427,950.0,281100.0,2
170,New York, USA,#ProChoice,Sat Jun 20 21:10:03 +0000 2020,42.11192215013902,-75.02628554216868,#ff8427,970.2613531047266,35076.80815569972,1
173,Pennsylvania, USA,#ProChoice,Sat Jun 20 20:22:11 +0000 2020,40.62121128472223,-77.63372887731481,#ff8427,782.3564814814815,9051.620949074075,2
175,Upper Marlboro, MD,#ProChoice,Sat Jun 20 20:15:41 +0000 2020,38.8172,-76.7546,#ff8427,632.0,673.0,1
176,Cortland, NY,#ProChoice,Sat Jun 20 20:03:16 +0000 2020,42.6004,-76.1784,#ff8427,1853.0,26769.0,1
177,Virginia, USA,#ProChoice,Sat Jun 20 19:31:55 +0000 2020,37.7647656996587,-78.37606126279863,#ff8427,544.5238907849829,13988.131399317406,1
179,Florida, USA,#ProChoice,Sat Jun 20 19:23:25 +0000 2020,28.1400878021978,-82.12263065934067,#ff8427,927.0826373626373,33241.92747252747,3
180,Florida, USA,#ProChoice,Sat Jun 20 18:30:18 +0000 2020,28.1400878021978,-82.12263065934067,#ff8427,927.0826373626373,33241.92747252747,3
181,Tigard, OR,#ProChoice,Sat Jun 20 18:29:32 +0000 2020,45.4237,-122.7845,#ff8427,1609.0,53148.0,1
182,North Carolina, USA,#ProChoice,Sat Jun 20 18:26:11 +0000 2020,35.439809510869566,-79.32081358695652,#ff8427,296.32065217391306,12504.385869565218,1
183,Pennsylvania, USA,#ProChoice,Sat Jun 20 18:24:28 +0000 2020,40.62121128472223,-77.63372887731481,#ff8427,782.3564814814815,9051.620949074075,2
184,Florida, USA,#ProChoice,Sat Jun 20 18:23:57 +0000 2020,28.1400878021978,-82.12263065934067,#ff8427,927.0826373626373,33241.92747252747,3
185,Washington, D.C.,#ProChoice,Sat Jun 20 18:01:44 +0000 2020,47.344806451612904,-121.38152080645162,#ff8427,521.5129032258064,16346.754838709678,1
186,Boston, MA,#ProChoice,Sat Jun 20 17:59:25 +0000 2020,42.3188,-71.0846,#ff8427,5472.0,4637537.0,1
187,California, USA,#ProChoice,Sat Jun 20 17:58:25 +0000 2020,36.924938936877076,-120.18747089700997,#ff8427,956.9958139534883,39607.22724252492,1
188,Memphis, TN,#ProChoice,Sat Jun 20 17:41:30 +0000 2020,35.1046,-89.9773,#ff8427,793.0,1068873.0,1
189,South Bend, Indiana,#ProChoice,Sat Jun 20 17:23:06 +0000 2020,41.6771,-86.2692,#ff8427,950.0,281100.0,2
190,Montana, USA,#ProChoice,Sat Jun 20 16:57:23 +0000 2020,47.08978038674034,-110.95965414364639,#ff8427,213.37016574585635,2255.157458563536,1
193,Missouri, USA,#ProChoice,Sat Jun 20 16:07:23 +0000 2020,38.46613426911907,-92.43911626331074,#ff8427,405.15663117134557,7224.933204259439,1
194,Farmington, New Mexico,#ProChoice,Sat Jun 20 15:54:26 +0000 2020,36.7555,-108.1823,#ff8427,509.0,52555.0,1
195,Murfreesboro, TN,#ProChoice,Sat Jun 20 15:41:40 +0000 2020,35.8493,-86.4117,#ff8427,864.0,167055.0,1
196,Kissimmee, FL,#ProLife,Sat Jun 20 23:57:49 +0000 2020,28.3042,-81.4164,#564787,1318.0,374231.0,1
197,Charlotte, NC,#ProLife,Sat Jun 20 23:56:29 +0000 2020,35.2079,-80.8304,#564787,1081.0,1467362.0,1
198,San Francisco, CA,#ProLife,Sat Jun 20 23:56:18 +0000 2020,37.7562,-122.443,#564787,7286.0,3603761.0,1
200,New Jersey, USA,#ProLife,Sat Jun 20 23:51:26 +0000 2020,40.32016673040153,-74.52402217973231,#564787,1469.2390057361376,10892.99808795411,1
201,Iowa, USA,#ProLife,Sat Jun 20 23:50:25 +0000 2020,42.05805302879841,-93.38755978152929,#564787,286.4915590863952,3145.91956305859,1
202,Baxter, MN,#ProLife,Sat Jun 20 23:47:58 +0000 2020,46.3426,-94.2794,#564787,169.0,8278.0,1
203,Los Angeles, CA,#ProLife,Sat Jun 20 23:43:24 +0000 2020,34.1139,-118.4068,#564787,3295.0,12815475.0,1
206,Ohio, USA,#ProLife,Sat Jun 20 23:34:26 +0000 2020,40.35181636212625,-82.80448712624585,#564787,549.1569767441861,11432.45265780731,1
207,Miami, FL,#ProLife,Sat Jun 20 23:33:43 +0000 2020,25.7839,-80.2102,#564787,4969.0,6381966.0,1
209,Arizona, USA,#ProLife,Sat Jun 20 23:29:37 +0000 2020,33.872523318385646,-111.58644260089687,#564787,204.72869955156952,21483.224215246635,1
210,Lowry Crossing, TX,#ProLife,Sat Jun 20 23:25:50 +0000 2020,33.1709,-96.5444,#564787,261.0,1737.0,1
211,Bradenton, FL,#ProLife,Sat Jun 20 23:25:15 +0000 2020,27.49,-82.574,#564787,1512.0,56508.0,1
212,Massachusetts, USA,#ProLife,Sat Jun 20 23:18:08 +0000 2020,42.08924751773049,-71.18091205673758,#564787,1008.886524822695,63636.99290780142,1
213,Pikeville, Kentucky,#ProLife,Sat Jun 20 23:15:39 +0000 2020,37.4807,-82.5262,#564787,118.0,7685.0,1
215,Washington, DC,#ProLife,Sat Jun 20 23:07:18 +0000 2020,38.9047,-77.0163,#564787,4382.0,5289420.0,3
218,Queens, NY,#ProLife,Sat Jun 20 23:03:33 +0000 2020,40.7498,-73.7976,#564787,8247.0,2333054.0,1
219,Washington, DC,#ProLife,Sat Jun 20 23:00:34 +0000 2020,38.9047,-77.0163,#564787,4382.0,5289420.0,3
220,Delaware, USA,#ProLife,Sat Jun 20 22:51:12 +0000 2020,39.13633766233766,-75.48757012987014,#564787,694.2597402597403,7244.25974025974,1
221,Colorado Springs, CO,#ProLife,Sat Jun 20 22:49:04 +0000 2020,38.8674,-104.7606,#564787,919.0,623946.0,1
223,Franklin, TN,#ProLife,Sat Jun 20 22:44:06 +0000 2020,35.9216,-86.8525,#564787,727.0,78321.0,1
224,Oak Harbor, WA ,#ProLife,Sat Jun 20 22:40:54 +0000 2020,48.2965,-122.6331,#564787,930.0,34663.0,1
225,San Antonio, Texas,#ProLife,Sat Jun 20 22:39:09 +0000 2020,29.4658,-98.5254,#564787,1204.0,2002530.0,1
226,Santa Ana, CA,#ProLife,Sat Jun 20 22:32:41 +0000 2020,33.7366,-117.8819,#564787,4715.0,334136.0,1
227,Michigan, USA,#ProLife,Sat Jun 20 22:32:09 +0000 2020,43.47372115942029,-84.86635913043477,#564787,503.21159420289854,15115.937681159421,1
228,Washington, DC,#ProLife,Sat Jun 20 22:30:17 +0000 2020,38.9047,-77.0163,#564787,4382.0,5289420.0,3
229,Tulsa, OK,#BlueLivesMurder,Sat Jun 20 22:36:25 +0000 2020,36.1284,-95.9043,#dbcbd8,785.0,672054.0,1
230,Columbus, Ohio,#BlueLivesMurder,Sat Jun 20 22:35:36 +0000 2020,39.986,-82.9851,#dbcbd8,1551.0,1528314.0,1
232,Milwaukee, WI,#BlueLivesMurder,Sat Jun 20 19:05:08 +0000 2020,43.0642,-87.9673,#dbcbd8,2389.0,1377808.0,1
233,Mesa, AZ,#BlueLivesMurder,Sat Jun 20 19:03:15 +0000 2020,33.4017,-111.7181,#dbcbd8,1388.0,496401.0,1
234,Seattle, WA,#BlueLivesMurder,Sat Jun 20 18:20:43 +0000 2020,47.6211,-122.3244,#dbcbd8,3336.0,3643765.0,1
236,San Francisco, CA,#BlueLivesMurder,Sat Jun 20 16:19:22 +0000 2020,37.7562,-122.443,#dbcbd8,7286.0,3603761.0,1
237,Oregon, USA,#BlueLivesMurder,Sat Jun 20 14:48:35 +0000 2020,44.56224297082228,-122.01842334217507,#dbcbd8,621.6392572944297,13825.602122015915,1
238,Detroit, MI,#BlueLivesMurder,Sat Jun 20 13:21:08 +0000 2020,42.3834,-83.1024,#dbcbd8,1873.0,3522206.0,1
240,Missoula, MT,#BlueLivesMurder,Sat Jun 20 08:31:14 +0000 2020,46.8685,-114.0095,#dbcbd8,967.0,90218.0,1
242,Tucson, AZ,#BlueLivesMurder,Sat Jun 20 03:23:26 +0000 2020,32.1545,-110.8782,#dbcbd8,868.0,868391.0,1
243,Florida, USA,#BlueLivesMurder,Sat Jun 20 02:28:26 +0000 2020,28.1400878021978,-82.12263065934067,#dbcbd8,927.0826373626373,33241.92747252747,1
245,Denver, CO,#BlueLivesMurder,Sat Jun 20 01:14:47 +0000 2020,39.7621,-104.8759,#dbcbd8,1774.0,2787266.0,1
246,Atlanta, GA,#BlueLivesMurder,Sat Jun 20 00:26:59 +0000 2020,33.7627,-84.4225,#dbcbd8,1384.0,5228750.0,1
248,Doniphan, Nebraska,#DisarmthePolice,Sat Jun 20 22:35:55 +0000 2020,40.7742,-98.3708,#562c2c,641.0,844.0,1
249,Drexel Hill, PA,#DisarmthePolice,Sat Jun 20 22:30:37 +0000 2020,39.9495,-75.3039,#562c2c,3412.0,28246.0,1
250,Union City, NJ,#DisarmthePolice,Sat Jun 20 22:17:29 +0000 2020,40.7674,-74.0323,#562c2c,21116.0,70387.0,1
251,Connecticut, USA,#DisarmthePolice,Sat Jun 20 21:03:47 +0000 2020,41.55448839285714,-72.6807919642857,#562c2c,749.8392857142857,36364.169642857145,1
252,California, USA,#DisarmthePolice,Sat Jun 20 20:21:58 +0000 2020,36.924938936877076,-120.18747089700997,#562c2c,956.9958139534883,39607.22724252492,2
255,Seattle, WA,#DisarmthePolice,Sat Jun 20 06:50:15 +0000 2020,47.6211,-122.3244,#562c2c,3336.0,3643765.0,1
256,Portland, OR,#DisarmthePolice,Sat Jun 20 04:49:10 +0000 2020,45.5371,-122.65,#562c2c,1874.0,2052796.0,1
258,Richmond, VA,#DisarmthePolice,Sat Jun 20 02:19:58 +0000 2020,37.5295,-77.4756,#562c2c,1463.0,1059907.0,1
259,Virginia Beach, VA,#DisarmthePolice,Sat Jun 20 01:55:40 +0000 2020,36.7335,-76.0435,#562c2c,710.0,1480383.0,1
260,California, USA,#DisarmthePolice,Sat Jun 20 01:41:15 +0000 2020,36.924938936877076,-120.18747089700997,#562c2c,956.9958139534883,39607.22724252492,2
261,Los Angeles, CA,#DisarmthePolice,Sat Jun 20 01:15:10 +0000 2020,34.1139,-118.4068,#562c2c,3295.0,12815475.0,1
262,New York, USA,BlackLivesMatter,Sat Jun 20 15:40:21 +0000 2020,42.11192215013902,-75.02628554216868,#f2542d,970.2613531047266,35076.80815569972,2
263,San Antonio, TX,BlackLivesMatter,Sat Jun 20 23:59:59 +0000 2020,29.4658,-98.5254,#f2542d,1204.0,2002530.0,1
264,Seattle, WA,BlackLivesMatter,Sat Jun 20 23:59:57 +0000 2020,47.6211,-122.3244,#f2542d,3336.0,3643765.0,2
265,Maryland, USA,BlackLivesMatter,Sat Jun 20 23:59:57 +0000 2020,39.096691245136185,-76.99463501945526,#f2542d,843.964980544747,13387.101167315175,1
267,Seattle, WA,BlackLivesMatter,Sat Jun 20 23:59:51 +0000 2020,47.6211,-122.3244,#f2542d,3336.0,3643765.0,2
268,West Palm Beach, FL,BlackLivesMatter,Sat Jun 20 23:59:51 +0000 2020,26.7469,-80.1316,#f2542d,775.0,110222.0,1
