Index,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
184,New York, Philadelphia,#ProChoice,Sun Jun 21 10:56:33 +0000 2020,42.11192215013902,-75.02628554216868,#ff8427,970.2613531047266,35076.80815569972,4
185,Baltimore, MD,#ProChoice,Sun Jun 21 10:55:08 +0000 2020,39.3051,-76.6144,#ff8427,2917.0,2170504.0,1
186,Maryland, USA,#ProChoice,Sun Jun 21 10:42:54 +0000 2020,39.096691245136185,-76.99463501945526,#ff8427,843.964980544747,13387.101167315175,1
187,Hilliard, OH,#ProChoice,Sun Jun 21 10:36:39 +0000 2020,40.0353,-83.1578,#ff8427,972.0,35939.0,1
190,Lancaster, PA,#ProChoice,Sun Jun 21 09:10:34 +0000 2020,40.042,-76.3012,#ff8427,3189.0,404525.0,1
191,Seattle, WA,#ProChoice,Sun Jun 21 08:58:25 +0000 2020,47.6211,-122.3244,#ff8427,3336.0,3643765.0,2
192,Carlsbad, CA,#ProChoice,Sun Jun 21 08:29:37 +0000 2020,33.1247,-117.2837,#ff8427,1179.0,115330.0,1
194,Manhattan, NY,#ProChoice,Sun Jun 21 07:42:44 +0000 2020,40.7834,-73.9662,#ff8427,27799.0,1643734.0,1
195,SC, USA,#ProChoice,Sun Jun 21 07:10:13 +0000 2020,34.02741446700507,-81.11013807106599,#ff8427,310.6446700507614,11497.964467005077,1
196,Seattle, WA,#ProChoice,Sun Jun 21 06:54:37 +0000 2020,47.6211,-122.3244,#ff8427,3336.0,3643765.0,2
199,California, USA ,#ProChoice,Sun Jun 21 06:46:04 +0000 2020,36.924938936877076,-120.18747089700997,#ff8427,956.9958139534883,39607.22724252492,2
200,Massachusetts, USA,#ProChoice,Sun Jun 21 06:36:42 +0000 2020,42.08924751773049,-71.18091205673758,#ff8427,1008.886524822695,63636.99290780142,1
202,Boulder, Colorado,#ProChoice,Sun Jun 21 06:33:58 +0000 2020,40.0249,-105.2523,#ff8427,1573.0,126054.0,1
203,New York, NY,#ProChoice,Sun Jun 21 06:23:36 +0000 2020,40.6943,-73.9249,#ff8427,11083.0,19354922.0,4
204,New York, NY,#ProChoice,Sun Jun 21 06:22:23 +0000 2020,40.6943,-73.9249,#ff8427,11083.0,19354922.0,4
205,California, USA,#ProChoice,Sun Jun 21 06:18:31 +0000 2020,36.924938936877076,-120.18747089700997,#ff8427,956.9958139534883,39607.22724252492,2
206,Washington, USA,#ProChoice,Sun Jun 21 06:16:43 +0000 2020,47.344806451612904,-121.38152080645162,#ff8427,521.5129032258064,16346.754838709678,1
208,Texas, USA,#ProChoice,Sun Jun 21 06:11:40 +0000 2020,30.65436949941793,-97.80444208381839,#ff8427,467.07974388824215,19220.278230500582,1
